ogr,libelle,libelle_type,root,root_type,context,chunk,chunk_length,chunk_index,chunk_level
100003,"Conduire les engins agricoles vers le lieu de production (champs, forêt), de stockage, de livraison (fermes, coopératives)",ACTIVITE DE BASE ET/OU SPECIFIQUE,Conduire,AVERB,"les engins agricoles vers le lieu de production, de stockage, de livraison","conduire les engins agricoles vers le lieu de production, de stockage, de livraison",15,0,1
100007,"Techniques de soudage",SAVOIRS THEORIQUES ET PROCEDURAUX,Techniques,ANOUN,"de soudage","Techniques de soudage",3,0,1
100010,"Utilisation d'engins forestiers",SAVOIRS THEORIQUES ET PROCEDURAUX,Utilisation,ANOUN,"d'engins forestiers","Utilisation d'engins forestiers",4,0,1
100011,"Techniques culturales",SAVOIRS THEORIQUES ET PROCEDURAUX,Techniques,ANOUN,"culturales","Techniques culturales",2,0,1
100015,"Normes environnementales",SAVOIRS THEORIQUES ET PROCEDURAUX,Normes,ANOUN,"environnementales","Normes environnementales",2,0,1
100016,"Gestes et postures de manutention",SAVOIRS THEORIQUES ET PROCEDURAUX,Gestes,ANOUN,"de manutention","Gestes de manutention",3,0,1
100016,"Gestes et postures de manutention",SAVOIRS THEORIQUES ET PROCEDURAUX,postures,ANOUN,"de manutention","postures de manutention",3,1,1
100017,"Règles de sécurité",SAVOIRS THEORIQUES ET PROCEDURAUX,Règles,ANOUN,"de sécurité","Règles de sécurité",3,0,1
100018,"Utilisation de débusqueur",SAVOIRS THEORIQUES ET PROCEDURAUX,Utilisation,ANOUN,"de débusqueur","Utilisation de débusqueur",3,0,1
100019,"Caractéristiques des écosystèmes",SAVOIRS THEORIQUES ET PROCEDURAUX,Caractéristiques,ANOUN,"des écosystèmes","Caractéristiques des écosystèmes",3,0,1
100023,"Réaliser l'abattage des arbres désignés (positionnement des coins, tronçonnage de la base, ...) selon la trajectoire de chute voulue",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"l'abattage des arbres désignés selon la trajectoire de chute voulue","réaliser l'abattage des arbres désignés selon la trajectoire de chute voulue",12,0,1
100023,"Réaliser l'abattage des arbres désignés (positionnement des coins, tronçonnage de la base, ...) selon la trajectoire de chute voulue",ACTIVITE DE BASE ET/OU SPECIFIQUE,abattage,ANOUN,"des arbres désignés selon la trajectoire de chute voulue","abattage des arbres désignés selon la trajectoire de chute voulue",10,1,2
100029,"Techniques d'affûtage",SAVOIRS THEORIQUES ET PROCEDURAUX,Techniques,ANOUN,"d'affûtage","Techniques d'affûtage",3,0,1
100030,"Physiologie végétale",SAVOIRS THEORIQUES ET PROCEDURAUX,Physiologie,ANOUN,"végétale","Physiologie végétale",2,0,1
100032,"Techniques de taille de végétaux",SAVOIRS THEORIQUES ET PROCEDURAUX,Techniques,ANOUN,"de taille de végétaux","Techniques de taille de végétaux",5,0,1
100033,"Techniques de coupe et d'abattage",SAVOIRS THEORIQUES ET PROCEDURAUX,Techniques,ANOUN,"de coupe et d'abattage","Techniques de coupe et d'abattage",6,0,1
100035,"Techniques d'haubanage",SAVOIRS THEORIQUES ET PROCEDURAUX,Techniques,ANOUN,"d'haubanage","Techniques d'haubanage",3,0,1
100038,"Chiffrage/calcul de coût",SAVOIRS THEORIQUES ET PROCEDURAUX,Chiffrage,ANOUN,"de coût","Chiffrage de coût",3,1,1
100038,"Chiffrage/calcul de coût",SAVOIRS THEORIQUES ET PROCEDURAUX,calcul,ANOUN,"de coût","calcul de coût",3,0,1
100039,"Techniques de soins aux arbres ou ceps",SAVOIRS THEORIQUES ET PROCEDURAUX,Techniques,ANOUN,"de soins aux arbres ou ceps","Techniques de soins aux arbres ou ceps",7,0,1
100050,"Réglementation des espaces et espèces protégés",SAVOIRS THEORIQUES ET PROCEDURAUX,Réglementation,ANOUN,"des espaces et espèces protégés","Réglementation des espaces et espèces protégés",6,0,1
100051,"Classification des espèces animales",SAVOIRS THEORIQUES ET PROCEDURAUX,Classification,ANOUN,"des espèces animales","Classification des espèces animales",4,0,1
100057,"Techniques de préservation de la biodiversité",SAVOIRS THEORIQUES ET PROCEDURAUX,Techniques,ANOUN,"de préservation de la biodiversité","Techniques de préservation de la biodiversité",6,0,1
100058,"Sécuriser le chantier et son environnement (signalisation, ...)",ACTIVITE DE BASE ET/OU SPECIFIQUE,Sécuriser,AVERB,"le chantier et son environnement","sécuriser le chantier et son environnement",6,0,1
100063,"Tailler les arbres selon l'orientation de croissance ou la forme recherchée et supprimer les branches indésirables",ACTIVITE DE BASE ET/OU SPECIFIQUE,Tailler,AVERB,"les arbres selon l'orientation de croissance ou la forme recherchée","tailler les arbres selon l'orientation de croissance ou la forme recherchée",12,1,1
100063,"Tailler les arbres selon l'orientation de croissance ou la forme recherchée et supprimer les branches indésirables",ACTIVITE DE BASE ET/OU SPECIFIQUE,supprimer,AVERB,"les branches indésirables","supprimer les branches indésirables",4,0,1
100064,"Utilisation d'engins de tonte (autotracté/autoporté)",SAVOIRS THEORIQUES ET PROCEDURAUX,Utilisation,ANOUN,"d'engins de tonte","Utilisation d'engins de tonte",5,0,1
100068,"Etudier les évolutions de la faune et de la flore dans les milieux naturels",ACTIVITE DE BASE ET/OU SPECIFIQUE,Etudier,AVERB,"les évolutions de la faune et de la flore dans les milieux naturels","etudier les évolutions de la faune et de la flore dans les milieux naturels",14,0,1
100069,"Surveiller un espace naturel pour la prévention des risques d'accidents, de pollution, d'incendie",ACTIVITE DE BASE ET/OU SPECIFIQUE,Surveiller,AVERB,"un espace naturel pour la prévention des risques d'accidents, de pollution, d'incendie","surveiller un espace naturel pour la prévention des risques d'accidents, de pollution, d'incendie",17,0,1
100070,"Diagnostiquer l'état d'un site et définir les priorités d'action au sein des milieux inventoriés",ACTIVITE DE BASE ET/OU SPECIFIQUE,Diagnostiquer,AVERB,"l'état d'un site au sein des milieux inventoriés","diagnostiquer l'état d'un site au sein des milieux inventoriés",11,0,1
100070,"Diagnostiquer l'état d'un site et définir les priorités d'action au sein des milieux inventoriés",ACTIVITE DE BASE ET/OU SPECIFIQUE,définir,AVERB,"les priorités d'action","définir les priorités d'action",5,1,1
100071,"Déployer les directives du ministère et des collectivités pour la protection et la valorisation des milieux naturels par réintroduction d'espèces, restauration de plages ...",ACTIVITE DE BASE ET/OU SPECIFIQUE,Déployer,AVERB,"les directives du ministère et des collectivités pour la protection et la valorisation des milieux naturels","déployer les directives du ministère et des collectivités pour la protection et la valorisation des milieux naturels",17,0,1
100071,"Déployer les directives du ministère et des collectivités pour la protection et la valorisation des milieux naturels par réintroduction d'espèces, restauration de plages ...",ACTIVITE DE BASE ET/OU SPECIFIQUE,protection,ANOUN,"des milieux naturels","protection des milieux naturels",4,1,1
100071,"Déployer les directives du ministère et des collectivités pour la protection et la valorisation des milieux naturels par réintroduction d'espèces, restauration de plages ...",ACTIVITE DE BASE ET/OU SPECIFIQUE,valorisation,ANOUN,"des milieux naturels","valorisation des milieux naturels",4,2,2
100075,"Utilisation de matériel de capture (seringue hypodermique, ...)",SAVOIRS THEORIQUES ET PROCEDURAUX,Utilisation,ANOUN,"de matériel de capture","Utilisation de matériel de capture",5,0,1
100076,"Droit forestier",SAVOIRS THEORIQUES ET PROCEDURAUX,Droit,ANOUN,"forestier","Droit forestier",2,0,1
100077,"Droit rural",SAVOIRS THEORIQUES ET PROCEDURAUX,Droit,ANOUN,"rural","Droit rural",2,0,1
100078,"Réglementation de la pêche",SAVOIRS THEORIQUES ET PROCEDURAUX,Réglementation,ANOUN,"de la pêche","Réglementation de la pêche",4,0,1
100079,"Réglementation de la chasse",SAVOIRS THEORIQUES ET PROCEDURAUX,Réglementation,ANOUN,"de la chasse","Réglementation de la chasse",4,0,1
100083,"Réaliser des opérations de gestion des milieux aquatiques",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"des opérations de gestion des milieux aquatiques","réaliser des opérations de gestion des milieux aquatiques",8,0,1
100083,"Réaliser des opérations de gestion des milieux aquatiques",ACTIVITE DE BASE ET/OU SPECIFIQUE,opérations,ANOUN,"de gestion des milieux aquatiques","opérations de gestion des milieux aquatiques",6,1,2
100086,"Techniques de comptage",SAVOIRS THEORIQUES ET PROCEDURAUX,Techniques,ANOUN,"de comptage","Techniques de comptage",3,0,1
